"","V1","V2","V3"
"ENSG00000121410",1.19374434341846,1.20876316956411,1.54180259672689
"ENSG00000148584",0,0,0.0310945727202115
"ENSG00000175899",66.5158342124903,77.5310004140898,35.9540954449537
"ENSG00000166535",3.23631141932358,2.94953597540251,0.907714960698508
"ENSG00000094914",9.74072458200173,13.1318521321784,8.64589789234974
"ENSG00000081760",1.60604639189039,3.37537516349413,1.53175212879463
"ENSG00000109576",28.0481812345059,27.2602662747417,9.78860766461598
"ENSG00000103591",4.97911674269059,11.9158355590274,6.6054591952253
"ENSG00000115977",20.3379403469781,22.670524789743,19.8664393177869
"ENSG00000127837",19.1594311106524,19.083456441313,13.3852210578235
"ENSG00000090861",48.7191979317106,41.8682783953802,38.7775976987615
"ENSG00000124608",1.93588691280231,3.40287124854781,4.33095595435805
"ENSG00000266967",19.2120289598807,20.5196848784387,25.5224954200585
"ENSG00000157426",16.0916810111887,18.7345254125129,14.7476679164863
"ENSG00000149313",42.9155558938177,30.6000768956365,41.5386208608476
"ENSG00000008311",179.98086731233,169.895135365786,128.294983574116
"ENSG00000108270",3.52352884476641,7.09300574364294,2.33744071532829
"ENSG00000181409",3.04263720111218,2.94457606595752,4.06394766997247
"ENSG00000183044",27.9801010394241,22.711419687098,34.3434590990252
"ENSG00000165029",55.8119360555392,54.1586521170523,46.6928023346091
"ENSG00000154263",3.84609683484539,2.26291290021295,2.25711997403068
"ENSG00000144452",0.374321274611039,0.555669947726119,1.62824076724906
"ENSG00000107331",0.398045474471513,0.492787182276762,0.404033316582637
"ENSG00000167972",2.40931992631987,1.63318602769617,2.017398139883
"ENSG00000198691",0.130427408360479,0.17232449945265,0.0702129708067735
"ENSG00000154265",14.3574375454278,13.5883056973998,17.6485177587898
"ENSG00000154262",1.34832820310157,0.683188942269458,3.97503787739651
"ENSG00000064687",2.75126729372489,2.26975011004559,0.775764242635479
"ENSG00000141338",4.67437770056671,3.53432149438989,5.25374541076655
"ENSG00000154258",2.62980127399199,0.808214531948613,4.16743298783868
"ENSG00000085563",7.90745380709674,3.7301072862287,3.98877771346611
"ENSG00000135776",6.62673882501265,5.20836957356741,1.43861459943904
"ENSG00000005471",1.19745794572434,0.8991196049035,0.852349365118532
"ENSG00000115657",3.31207538780601,2.61128044600532,3.41383891255531
"ENSG00000131269",15.75790098418,19.7138434939976,18.0629257914526
"ENSG00000197150",1.04353184732917,2.1069498567891,2.23574595244009
"ENSG00000103222",4.56097239557083,1.23554724157134,2.67374705746625
"ENSG00000124574",0.598492232296689,0.480796489244306,2.10215123239525
"ENSG00000125257",3.3144864570983,6.53729348607727,0.666298201719695
"ENSG00000114770",13.053028354054,11.2131937380569,12.9627886240549
"ENSG00000006071",6.40865585239609,7.61112450593067,5.5698303725693
"ENSG00000069431",4.07720691680117,3.52937741623441,3.02028375857429
"ENSG00000173208",7.91450573724061,12.2943752535167,8.07032438641616
"ENSG00000117528",9.27230270051539,9.02695671424617,11.2966807693946
"ENSG00000119688",13.5101106187256,9.98461335783472,6.29023415986428
"ENSG00000164163",16.5225915686249,12.7803853788133,14.0180237448593
"ENSG00000033050",11.8431221412608,8.41915252708051,10.6429139346215
"ENSG00000161204",7.8357390637431,3.47408893904876,5.35034729857019
"ENSG00000160179",2.75521053390357,2.19719578088647,3.82748170824235
"ENSG00000118777",28.2645855487523,27.1593715426013,28.9228119505994
"ENSG00000172350",1.05371568838951,0.434615798730679,0.341550969826882
"ENSG00000138075",3.86138673072884,4.47612923222821,0.597841918627029
"ENSG00000143994",0.928599470111389,0.744960716724407,0.730232947611402
